user_id,date,user,screen_name,is_verified,tweet,likes,re_tweet,location,language,followers_count,friends_count,listed_count,statuses_count,favourites_count
3388560640,2021-04-28 18:43:16,TeslaSawFuture,TeslaSawFuture,False,"Reducing Food Waste is Imperative: Solutions for Food Loss https://t.co/6ASuO5gTPp
#starbucks #earthmonth… https://t.co/IGso5rNLeE",0,0,Dark Net,en,317,1526,86,5746,1431
840931920091406336,2021-04-28 18:40:37,ABC,minnesotab1990,False,Really ⁦@Starbucks⁩ myself and SEVERAL others that actually back police will be done providing you customers! Bowin… https://t.co/37I91ELVKz,1,0,United States,en,88,158,0,2573,10479
18294336,2021-04-28 18:35:00,RENX,RENXca,False,"#Starbucks Corp. missed expectations for quarterly sales Tuesday, hurt by weakness at its business abroad where the… https://t.co/WnzTwXGXyo",1,0,Canada,en,12108,6394,394,49493,101
27957934,2021-04-28 18:15:11,Charlie Jeffers,chlj,False,#Starbucks Sets Sights on 40 Million #Rewards Members | @QSRmagazine https://t.co/i2FXik0VYn https://t.co/RNAtONo2Zz,0,0,Laguna Beach,en,2406,1906,523,51602,11837
18706579,2021-04-28 18:08:49,Josie DJ Imaginette,JosetteN,False,"I ❤️💜❤️ the #starbucks #dragonfruit with lemonade - it's a sometimes treat.... Sugar! Mmmmm, still, yum! https://t.co/mm1zaP47oj",0,0,DC - I tweet when I feel it :),en,1980,1344,44,5559,1136
1447310899,2021-04-28 18:01:26,Weber State Dining,DINEatWEBER,False,"Last day for Starbucks for the semester. So don't miss out and refuel for finals. Closing at 3 pm 
Also we will be… https://t.co/R0XI0krFaE",0,0,"Ogden, Utah",en,185,220,4,1390,990
2970719938,2021-04-28 17:59:56,Kerry Johnson,candidkerry,False,I’d say Boomer enjoyed his pup cup at #starbucks 🤩🐶 https://t.co/2wxl0pp6v3,2,0,The Sunshine State,en,5383,4664,123,12624,27068
1224385660619898881,2021-04-28 17:57:27,☭𝖙𝖔𝖗𝖎☭,CORPSEXTBAILS,False,"Be like me, do something selfless buy someones #Starbucks  (hoping I started a pay it forward in the line)",0,0,She|They| BLM ↯,en,261,304,4,2941,7341
707079170644271104,2021-04-28 17:47:35,Tickwatcher MF,TickwatcherMF,False,#Options Flow Grid Update $SBUX #OptionsTrading #Starbucks Shares 🔻3.1% to $112.55 #OptionsFlow #stocks #stock… https://t.co/kQdrBJ3oeh,0,0,"California, USA",en,3876,296,59,25507,0
1246122585303072768,2021-04-28 17:35:05,Seenukara,Seenukara1,False,"The global leading coffee house chain #Starbucks has opened its 5,000th store on the Chinese mainland on Tuesday in… https://t.co/1fNcEW4ei1",0,0,,en,448,468,0,7589,5785
856443762,2021-04-28 17:30:40,DFW Gentleman,DfwGentleman,False,"I would like to buy someone starbucks this week. 

Like this post
Comment your fav starbucks item
Tag a friend… https://t.co/0hCWRTTByd",1,0,"Dallas, TX",en,477,2448,1,4721,11145
1387441693998260229,2021-04-28 17:30:17,FlashFacts,_FlashFacts_,False,"#Starbucks misspells names on purpose so people can then tweet that, saving the company millions of dollars in adve… https://t.co/ymhXbuZQDs",3,0,Your Feed,en,2,10,0,1,2
3438198040,2021-04-28 17:27:09,FoodSafetyMarket,foodsafetymkt,False,@Starbucks U.S. sales have fully recovered since the beginning of the pandemic https://t.co/RyMr0TbCwe #Starbucks… https://t.co/jY5vPHmBfA,0,0,Canada,en,1049,426,14,1799,84
970140879393579009,2021-04-28 17:23:33,Susan Larson ♀️🏳️‍🌈🏳️‍⚧️,Susan_Larson_TN,False,"#Starbucks, #Amazon, #Pepsi among 400+ #companies calling for #EqualityAct to pass. 

- They should punish the… https://t.co/YzAEGSKk7b",0,0,"Clarksville, TN",en,2399,579,15,58736,3224
1260602557,2021-04-28 17:21:42,teri,tallred19,False,Special reward for unlocking #FauciOuchie #2 #TeamModerna #GetVaccinated #Starbucks https://t.co/BoHyNzwHyJ,0,0,,en,19,39,0,201,4593
2455492735,2021-04-28 17:21:38,Robert Cardenas Jr,cardenasjr93,False,"Tiana enjoying her #puppuccino from #starbucks. Damn tires are taking forever 
#dogowner #puppy https://t.co/4XRJwwAGUd",2,0,,en,111,458,1,1038,2300
1353054229661839362,2021-04-28 17:14:44,'Coco',chanelup_,False,"📌 New rating $SBUX #Starbucks

PT by Stephens &amp; Co
$115 ⏩ $118

PT by Wedbush
$124 ⏩ $132

PT by RBC Capital
$126 ⏩… https://t.co/4U0OUl8BRo",1,0,World Wide Web,en,16,46,0,137,473
173854529,2021-04-28 17:11:03,All For One Shop,XavierBookstore,False,"Whats your favorite mask you have?

#allforone #ustationxu #starbucks #masks #maskup #muskies #covidfree https://t.co/Q53jlcujMO",0,0,"Cincinnati, OH",en,989,308,9,2341,954
1169940860085198848,2021-04-28 17:00:04,Mold Plastic Reduction,MoldReduction,False,@CostaCoffee @Starbucks #hotdrinks #coffeetime allow you to bring your #reusablemug in for your #takeaway drinks.… https://t.co/qqvoDCmiYn,2,1,"Mold, Wales",en,525,1307,2,587,1354
758013822,2021-04-28 16:58:00,BestDealsEver,MilwaukeeHotBuy,False,"Listen to ""CAPITOL RIOTERS MENTAL HEALTH ASSESSMENT! Trump’s Words Mattered! Kyle Rittenhouse horrible update "" by… https://t.co/vTUATxILTD",0,0,,en,2065,2378,354,117189,2957
1280028012168314883,2021-04-28 16:45:01,Omar Estrada,OmarEstradaTeo,False,About last nigth #tuesdayvibe ❤️ #Starbucks https://t.co/ZJFCZGTcX7,0,0,,en,642,557,2,376,5516
1141608443519864834,2021-04-28 16:42:04,Tialys,Tialys4,False,Any recommendations on what I should get from Starbucks? #Starbucks #helpme,0,0,,en,6,88,0,182,1757
1140429132024733701,2021-04-28 16:35:05,Gods My Waifu,godsmywaifu,False,Shoutout to the girl in front of me that paid for my Starbucks. #keepitgoing #goodvibesonly #starbucks https://t.co/2OYY7Dzaft,0,0,,en,10,135,0,22,53
14908780,2021-04-28 16:33:20,Roger Dooley,rogerdooley,False,"How ""amenities"" are calculated in the WSJ/Realtor.com’s Emerging Housing Markets Index: "" Data consists of the numb… https://t.co/uVP3xBMKlY",2,0,"Austin, TX",en,43953,10510,2419,35280,8680
1275031050515877890,2021-04-28 16:30:00,Ashley Broadwater,ashley_writes_,False,"Did someone just say... a @Starbucks drink with @girlscouts cookie flavors!?

*Runs to Starbucks then orders more G… https://t.co/SGQ2Uc7lII",0,0,"Atlanta, GA",en,1273,2268,7,1215,1007
1433785411,2021-04-28 16:29:04,Vineland Construction Company,VCCRealEstate,False,Check out this #video mashup from the #Starbucks ribbon cutting recently held before they officially open later thi… https://t.co/PiSI1eoulh,0,0,,en,3,3,0,34,0
527412362,2021-04-28 16:26:41,Sue Bernard,MRSB_2004,False,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset… https://t.co/OveLSQyFyo,0,0,,en,4,17,0,530,12
1137955610903711746,2021-04-28 16:16:16,Bee's Knees Apiaries,BKApiaries,False,Celebrating Earth Day Month with a new bee yard and celebratory Starbucks Coffee!   #bkapiaries #Starbucks… https://t.co/9A6cFT5Drl,0,1,"Seattle, WA",en,9,9,0,30,8
1348688652570943491,2021-04-28 16:11:55,Moone✨,ShiningMoone,False,Day One of letting the Cool Barista Girl choose my Starbucks order for me #Starbucks https://t.co/FyZKlykhe4,0,0,"Washington, DC",en,31,168,0,785,3384
485680583,2021-04-28 16:11:26,Pictimo,Pictimo,False,"#coffeelovers live coffee webcam
#Starbucks #Coffee 
 https://t.co/DP92y0L4jc https://t.co/5N1cDxzyED",0,0,world web cams,en,6083,6789,32,25140,6137
2893147080,2021-04-28 16:02:40,Trojans 360,Trojans360,False,With all the Starbucks near campus and finals coming up you may be wondering what the best drinks are. Check out ou… https://t.co/fWVrrYX0Tc,0,0,"Los Angeles, CA",en,653,432,8,1370,43
27048469,2021-04-28 16:02:32,Hanadi Hijazi,Idanah,False,"Wow! I just finished having my first college class online at #Starbucks :)) It's true I'm fasting, but some barista… https://t.co/Kx2zvLugN0",0,0,"Lebanon, Middle East",en,874,2767,13,10345,553
1133651678694035456,2021-04-28 16:01:50,EnterprisingChina,sinoprise,False,"The global leading coffee house chain #Starbucks has opened its 5,000th store on the Chinese mainland on Tuesday in… https://t.co/051qjPQXmx",1,0,,en,11244,158,3,2032,171
1357589452520976384,2021-04-28 15:44:21,Finance World,FinanceWorld8,False,"In #China, #Starbucks' second-largest market, same-store sales surged 91% as it faced comparisons with last year's… https://t.co/H4Qj5M9fm0",3,0,,en,2659,2471,1,401,1131
3520587563,2021-04-28 15:38:11,NgugiK,K_NgugiII,False,"Weren't the founders of #Starbucks, #EASports, #McDonald's, #NIKE employees? https://t.co/gOrkQ0T5Sh",1,0,United States of Africa,en,2661,2441,7,8263,3813
210238100,2021-04-28 15:32:34,ℂ𝕠𝕣𝕕 𝕄𝕔ℂ𝕠𝕟𝕟𝕖𝕝𝕝,CordRush,False,Starbucks just put this on my coffee lid. What the hell is this? #starbucks https://t.co/D63HUVdR9u,0,0,"Los Angeles, CA",en,300,86,21,4356,6561
1035638520789065730,2021-04-28 15:28:36,Maddy Lee Ann,maddy_lee_ann,False,My dog is so cute! #starbucks #puppuccino https://t.co/JDvs7wiBPo,0,0,,en,80,105,0,70,287
24065051,2021-04-28 15:27:53,MaNdo GO,MaNdoGO,False,"Oh dang, my at home coffee is trash! I need a #Starbucks ASAP https://t.co/hMQf0BTP6R",0,0,Chitown-MIA-NYC,en,2755,1815,2,3742,19390
1327862021715619840,2021-04-28 15:22:55,Christopher Sykes,ChrisSykes_,False,I take my creamer with coffee. What about you? #Coffee #starbucks,0,0,"New York, USA",en,110,88,0,1215,1393
1352836926156500992,2021-04-28 15:21:25,Jessica Martin,coachjessmartin,False,"Starbucks' round tables were created specifically so customers would feel less alone.      
Round tables are more w… https://t.co/DoAFLKpNqw",0,0,Houston Texas ,en,97,541,0,78,1
1387267093553459201,2021-04-28 15:20:42,kissthehomiesgoodnight,kissthehomiesg2,False,gettin me some starbs #Starbucks,1,0,,en,25,68,0,18,14
1021507308092841984,2021-04-28 15:17:18,Restaurant Dive,RestaurantDive,False,.@Starbucks' Deep Brew AI engine personalizes offers made to diners and now automates daily inventory orders across… https://t.co/HSoAUGUb2c,0,0,"Washington, DC",en,1108,65,36,7118,233
947448037311365121,2021-04-28 15:07:11,Business Times,enbusinesstimes,False,"Starbucks Raises Fiscal Year Guidance After Reports Strong Q2 Earnings

#Starbucks #Coffeeindustry #earningsreport… https://t.co/dmadZLV5LE",0,0,,en,191,26,4,9918,0
1259886812,2021-04-28 15:06:14,Alvin Dan,AlvinDanthe1st,False,@Starbucks @starbucksprtnrs is now taxing tips that baristas earned - how is this legal? No other coffee chain or c… https://t.co/f4j9qdMjjN,0,0,"New York, NY",en,71,490,0,1629,2617
29465486,2021-04-28 15:00:55,Freedom Crossing,FreedomCrossing,False,"When life gives you lemons, trade them for Starbucks coffee ❤️
.
.
.
#FreedomCrossing #FreedomCrossingAtFortBliss… https://t.co/NCYUDItIkq",0,0,"Fort Bliss, Texas",en,852,95,20,4464,410
1257779377787502593,2021-04-28 14:59:33,JaneenPhoenix,janeenphoenix,False,Posting this so you know I drink Starbucks. 😉 #Starbucks https://t.co/OuJyKOHxu8,0,0,Canada 🇨🇦,en,204,548,4,2214,1019
1177312584476897281,2021-04-28 14:57:12,Minji,minji_9734,False,"Because there is always time for coffee 😎🧋
#coffee #Starbucks #spring #picoftheday https://t.co/erkjkzS5IP",0,0,"Wrocław, Polska",en,8,148,0,99,6825
1017813988556623874,2021-04-28 14:52:03,pdalleva_author,PdallevaAuthor,False,👀Looking for some #bookish deals?📚Our #Fantasy &amp; #Scifi book fair has over 150 free &amp; discounted books + KU finds!… https://t.co/pzy2uAVyxr,0,0,"Boca Raton, FL",en,2529,2135,34,10035,5898
2771196403,2021-04-28 14:51:04,StatGuardPlus,Statguardplus,False,Control Energy! #att #verizon #sprint #tmobile #mapco #starbucks #mcdonalds #sonic #tacobell https://t.co/DgNPut6pFq,0,0,"Nashville, TN",en,1602,2834,106,8425,23748
1228359165443051520,2021-04-28 14:44:53,GetMuggedandWine,MuggedandWine,False,"#Starbucks Double Walled Travel Coffee Mug Tumbler White Gold Polka Dots
https://t.co/cUEgTs1eQX",0,2,web,en,1656,1567,3,7160,56
16883781,2021-04-28 14:41:38,Amanda Salas,AmandaSalas,True,Can someone who works at @Starbucks confirm if this is really true? 🥲💔 #Starbucks https://t.co/i7nvZWslhJ,3,0,Los Angeles,en,8295,1387,119,13990,20591
